Ticker,Latest_price,sector,industry,marketCap,trailing_PE_ratio,pegRatio,enterpriseValue,ebitda,ebitdaMargins,profitMargins,revenueGrowth,freeCashflow,operatingCashflow,returnOnAssets,returnOnEquity,enterpriseToRevenue,enterpriseToEbitda,priceToBook,beta,forwardEps,currentRatio,quickRatio,debtToEquity,sharesOutstanding,earningsGrowth,fiveYearAvgDividendYield
AAPL,167.3,Technology,Consumer Electronics,2744790810624,29.821747,1.85,2814912233472,128217997312,0.33890998,0.26579002,0.112,80153247744,112241000448,0.19875,1.45567,7.44,21.954,38.005455,1.203116,6.56,1.038,0.875,170.714,16319399936,0.25,1.17
MSFT,287.93,Technology,Software—Infrastructure,2158573649920,30.666737,1.79,2134568992768,90829996032,0.49123,0.38498002,0.201,46479876096,83909001216,0.15248999,0.49051,11.544,23.501,13.495665,0.888612,10.75,2.247,2.05,50.217,7496869888,0.222,1.37
GOOGL,2608.06,Communication Services,Internet Content & Information,1722420297728,23.245363,0.83,1640948563968,91144003584,0.35377,0.29512,0.324,49490001920,91651997696,0.14493,0.32069,6.369,18.004,6.862521,1.069617,135.46,2.928,2.8,11.329,300755008,0.377,
GOOG,2609.35,Communication Services,Internet Content & Information,1726275518464,23.256863,0.83,1637901533184,91144003584,0.35377,0.29512,0.324,49490001920,91651997696,0.14493,0.32069,6.357,17.97,6.865916,1.069617,135.5,2.928,2.8,11.329,315639008,0.377,
AMZN,3052.03,Consumer Cyclical,Internet Retail,1553007116288,47.091965,1.84,1617271193600,59174998016,0.12595001,0.07101,0.094,-787249984,46327001088,0.041929998,0.28806,3.442,27.33,11.237182,1.126802,72.3,1.136,0.905,100.864,508844000,0.975,
TSLA,856.98,Consumer Cyclical,Auto Manufacturers,885697413120,174.85818,3.87,898305425408,9333000192,0.1734,0.102539994,0.649,4628125184,11496999936,0.07135,0.20426,16.69,96.25,29.323523,2.006464,12.73,1.375,0.999,28.192,1033510016,7.538,
TSM,119.31,Technology,Semiconductors,618741628928,28.888618,1.1,164626366464,1072375988224,0.67555,0.37579,0.212,-40901271552,1112160993280,0.12526,0.29694998,0.104,0.154,0.28535894,1.00806,6.37,2.173,1.875,33.609,5185999872,0.165,2.76
NVDA,236.42,Technology,Semiconductors,589158612992,61.407795,1.27,604134309888,11214999552,0.41669998,0.36234,0.528,6733125120,9107999744,0.17198999,0.44832,22.447,53.868,22.245012,1.383888,6.63,6.65,5.965,43.916,2492000000,1.04,0.25
FB,206.16,Communication Services,Internet Content & Information,573487644672,14.753113,1.13,840160772096,54758998016,0.48748,0.35880002,0.351,26465374208,53618999296,0.18568,0.32103002,7.479,15.343,4.317668,1.282818,14.23,4.234,3.939,9.912,2366279936,0.188,
JPM,152.14,Financial Services,Banks—Diversified,460731645952,9.623632,1.06,-346110001152,,0,0.36923,-0.018,,,0.01356,0.16856001,-2.644,,1.7617972,1.115053,11.97,,,,2955269888,-0.122,2.51
UNH,467.81,Healthcare,Healthcare Plans,440607309824,29.036682,1.84,489802792960,24195999744,0.086619996,0.05523,0.111,24690499584,25226000384,0.0679,0.21985,1.754,20.243,6.270491,0.842597,21.65,0.72,0.655,62.929,941851008,0.297,1.39
JNJ,163.36,Healthcare,Drug Manufacturers—General,430061551616,24.414886,2.13,452604690432,31524999168,0.34474,0.19552,0.107,25509500928,26020999168,0.08587,0.26539,4.949,14.357,6.119727,0.718961,10.38,1.344,1.046,48.281,2632600064,0.03,2.6
BAC,45.96,Financial Services,Banks—Diversified,376140300288,13.760479,0.56,230952189952,,0,0.3337,0.234,,2750000128,0.01045,0.112449996,2.532,,1.5209981,1.508571,3.16,,,,8184079872,0.672,1.89
WMT,137.99,Consumer Defensive,Discount Stores,382767726592,48.58803,2.73,444740730880,40312999936,0.07048,0.01402,0.043,11486874624,29485000704,0.074489996,0.093109995,0.778,11.032,4.659306,0.524155,6.72,0.947,0.268,64.433,2773880064,-0.383,1.99
PG,159.9,Consumer Defensive,Household & Personal Products,386950004736,29.221489,3.98,402611437568,21248000000,0.27545,0.18332,0.053,12529750016,18275000320,0.09639,0.29837,5.219,18.948,8.550801,0.448555,6.36,0.665,0.438,70.132,2419950080,-0.014,2.77
HD,346.87,Consumer Cyclical,Home Improvement Retail,362215538688,23.19425,1.95,471301718016,25693999104,0.17396,0.10791001,0.098,9990124544,14810000384,0.20454,12.4031105,3.191,18.343,350.728,0.990129,16.19,1.132,0.32,4373.43,1044240000,0.233,2.11
MA,369.95,Financial Services,Credit Services,364483248128,42.231735,1.73,366954774528,10229000192,0.57505,0.45497,0.299,7711249920,8527000064,0.17801,1.2762,20.629,35.874,54.292633,1.071108,10.53,1.331,0.917,203.778,974708992,0.616,0.51
XOM,77.36,Energy,Oil & Gas Integrated,329606201344,,13.11,337873076224,33627000832,0.13878,-0.024349999,0.578,20241250304,35009998848,0.02495,-0.034560002,1.394,10.048,2.039439,1.348051,5.88,0.898,0.554,33.793,4233540096,,5.33
BABA,118.99,Consumer Cyclical,Internet Retail,323556409344,16.719122,85.06,181297086464,156045000704,0.19149,0.15305,0.294,150922248192,196824006656,0.042379998,0.11253,0.222,1.162,0.33309072,0.92,9.68,1.645,1.184,16.682,2710909952,-0.812,
PFE,48.53,Healthcare,Drug Manufacturers—General,272392585216,13.861753,0.01,316521611264,27306000384,0.39382,0.28684,1.344,42431250432,32291000320,0.07777,0.27747,4.565,11.592,3.5974796,0.623376,49.43,1.385,1.088,52.496,5612870144,4.468,3.67
DIS,151.36,Communication Services,Entertainment,275121012736,138.35466,1.07,339088572416,8602999808,0.12761,0.029590001,0.26,7388250112,5567000064,0.0107700005,0.025390001,5.03,39.415,3.107434,1.188571,5.06,1.083,0.944,57.044,1817660032,,
CVX,133.42,Energy,Oil & Gas Integrated,257192394752,25.79161,-2.98,281578995712,28544000000,0.21208,0.07359,0.773,13409874944,21966999552,0.03529,0.07405,2.092,9.865,1.8930463,1.272681,9.51,1.276,0.881,27.316,1927689984,,4.49
TM,188.97,Consumer Cyclical,Auto Manufacturers,261850071040,9.750774,,17935445786624,4821009039360,0.15392,0.10027,0.114,-648990752768,3310428094464,0.03621,0.13603,0.573,3.72,0.010635257,0.652983,11.45,1.073,0.881,96.577,1385670016,0.35,2.83
NTES,98.52,Communication Services,Electronic Gaming & Multimedia,67615854592,35.03556,,6619563008,18223044608,0.21957001,0.14626001,0.189,14793283584,24772376576,0.06333,0.12679,0.08,0.363,0.782209,0.568831,4.85,2.223,1.974,21.111,670980992,0.092,1.13
KO,62.54,Consumer Defensive,Beverages—Non-Alcoholic,270136524800,30.792715,2.72,289208860672,13306000384,0.35199,0.23313999,0.161,7007374848,12855000064,0.07831,0.39722002,7.651,21.735,12.179162,0.686233,2.43,1.516,1.173,172.826,4319419904,0.425,3.21
ASML,647.83,Technology,Semiconductor Equipment & Materials,263326040064,43.139774,1.7,317481713664,6602599936,0.36928,0.3054,0.324,6561762304,9099200512,0.14755,0.43258998,17.757,48.084,22.97351,0.946873,19.58,1.711,1.046,35.695,406473984,0.684,0.82
ABBV,144.03,Healthcare,Drug Manufacturers—General,254627741696,34.325546,2.38,326395723776,28259663872,0.50286996,0.20538001,0.074,,,,0.86594003,5.808,11.55,18.790607,0.79811,13.97,,,594.66,1767879936,248.779,4.28
AVGO,579.99,Technology,Semiconductors,239462776832,38.666,1.38,264887189504,14723999744,0.53639,0.24539,0.145,11868749824,13763999744,0.07164,0.27556,9.65,17.99,9.595969,1.031327,36.05,2.641,2.266,161.163,412873984,0.521,2.82
PEP,167.71,Consumer Defensive,Beverages—Non-Alcoholic,231884242944,28.5707,2.85,274041962496,13886000128,0.18109,0.10617,0.116,4287749888,11123999744,0.079840004,0.55412996,3.574,19.735,14.603797,0.650909,6.74,0.945,0.654,258.017,1382649984,-0.03,2.85
CSCO,57.21,Technology,Communication Equipment,241289461760,21.267656,2.73,214665986048,15864000512,0.31235,0.2244,0.081,10929999872,14785000448,0.09196,0.28190002,4.227,13.532,5.649812,0.982098,3.68,1.618,1.408,25.032,4217609984,0.373,2.94
